product_href,img_url,Mfr_Part,Mfr,Availability,Price,Qty,Datasheet,Mount,Shape,Material ,Package,Series,Size,Product-Status,Efficiency-Type,Height Seated ,REACH_SVHC,RoHS_Status,Category,Subcategory,Name,Title,public_id
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za016sdmt2-6504,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA016SDMT2,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za016sdmt2-datasheets-1832.pdf,-,,,Bulk,ZA,1.687Dia 42.85mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za016ldmt7-6506,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA016LDMT7,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za016ldmt7-datasheets-1850.pdf,Base,,,Bulk,SC,1.210Dia 30.74mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-za016sdmt7-6522,https://static.utmel.com/80dimg/mallorysonalertproductsinc-za028lasu2-2102.jpg,ZA016SDMT7,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-za016sdmt7-datasheets-1984.pdf,-,,,Bulk,ZA,1.692Dia 42.98mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-scl016ld3ctb-6335,https://static.utmel.com/80oimg/mallorysonalert-scl016ld3ctb-0537.jpg,SCL016LD3CTB,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-scl016ld3ctb-datasheets-0802.pdf,-,,,Bulk,ZA,1.210Dia 30.74mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616j1r-6432,https://static.utmel.com/80fimg/mallorysonalert-sc616j1r-9196.jpg,SC616J-1R,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j1r-datasheets-1281.pdf,Base,,,Bulk,SC,1.692Dia 42.98mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616qr-6512,https://static.utmel.com/80fimg/mallorysonalert-sc616qr-9069.jpg,SC616QR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,Panel,,,Bulk,ZA,1.687Dia 42.85mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628aejr-3411,https://static.utmel.com/80fimg/mallorysonalert-sc628aejr-9299.jpg,SC628AEJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,External,,,Bulk,SC,1.687Dia 42.85mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-msr205njr-5095,https://static.utmel.com/80dimg/mallorysonalertproductsinc-msr205njr-3524.jpg,MSR205NJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-pk21a29wq-datasheets-305.pdf,External,,,Bulk,ZA,1.210Dia 30.74mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628pbtr-5122,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628btr-3139.jpg,SC628P-BTR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc628pbtr-datasheets-4602.pdf,-,,,Bulk,ZA,1.687Dia 42.85mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616npur-6640,https://static.utmel.com/80fimg/mallorysonalert-sc616npur-9219.jpg,SC616NPUR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616npur-datasheets-2801.pdf,-,,,Bulk,AS,1.210Dia 30.74mm,Active,,-,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc250njr-2673,https://static.utmel.com/80fimg/mallorysonalert-sc250njr-7954.jpg,SC250NJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,-,,,Bulk,CMS,1.024Lx0.787W 26.00mmx20.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc250ejr-3409,https://static.utmel.com/80fimg/mallorysonalert-sc250ejr-8052.jpg,SC250EJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,Base,,,Bulk,AS,1.692Dia 42.98mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc648cpnr-4867,https://static.utmel.com/80fimg/mallorysonalert-sc648cpnr-2252.jpg,SC648CPNR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,Panel,,,Bulk,CMS,1.210Dia 30.74mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616npbtr-5131,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628btr-3139.jpg,SC616NP-BTR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616npbtr-datasheets-4665.pdf,External,,,Tray,,1.210Dia 30.74mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sce120sd6ct1s-2836,https://static.utmel.com/80fimg/mallorysonalert-sce120sd6ct1s-0557.jpg,SCE120SD6CT1S,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sce120sd6ct1s-datasheets-5455.pdf,-,,,Bulk,,0.906Lx0.906W 23.00mmx23.00mm,1 (Unlimited),,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc250fjr-3419,https://static.utmel.com/80fimg/mallorysonalert-sc250fjr-8042.jpg,SC250FJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,-,,,Bulk,,1.210Dia 30.74mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628aepr-3493,https://static.utmel.com/80fimg/mallorysonalert-sc628aepr-9288.jpg,SC628AEPR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,Through Hole,,,Bulk,,1.210Dia 30.74mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616njbtr-5152,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc616njbtr-3580.jpg,SC616NJ-BTR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616njbtr-datasheets-4818.pdf,-,,,Bulk,,1.210Dia 30.74mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628fjr-6249,https://static.utmel.com/80fimg/mallorysonalert-sc628fjr-9332.jpg,SC628FJR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,300,,,Bulk,,1.210Dia 30.74mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc110fpr-6589,https://static.utmel.com/80fimg/mallorysonalert-sc110fpr-7266.jpg,SC110FPR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616j-datasheets-283.pdf,-,,,Bulk,,1.692Dia 42.98mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616pur-6658,https://static.utmel.com/80fimg/mallorysonalert-sc616pur-9534.jpg,SC616PUR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616pur-datasheets-2948.pdf,PCB,,,Bulk,,1.210Dia 30.74mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc616nbtr-5151,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628btr-3139.jpg,SC616N-BTR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc616nbtr-datasheets-4808.pdf,-,,,Bulk,,0.906Lx0.906W 23.00mmx23.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628anbtr-6428,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628btr-3139.jpg,SC628AN-BTR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc628anbtr-datasheets-1256.pdf,-,,,Bulk,,0.906Lx0.906W 23.00mmx23.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628btr-4686,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628btr-3139.jpg,SC628-BTR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc628btr-datasheets-1694.pdf,Panel,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-sc628hbtr-5133,https://static.utmel.com/80dimg/mallorysonalertproductsinc-sc628btr-3139.jpg,SC628H-BTR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-sc628hbtr-datasheets-4683.pdf,-,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/mallorysonalertproductsinc-msr205nsr-5079,https://static.utmel.com/80dimg/mallorysonalertproductsinc-msr205nsr-3508.jpg,MSR205NSR,,In Stock,,1,https://pdf.utmel.com/r/datasheets/mallorysonalertproductsinc-pk21a29wq-datasheets-305.pdf,-,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/tdkcorporation-ps1240p02ct3-4550,https://static.utmel.com/80dimg/tdkcorporation-ps1240p02ct3-3003.jpg,PS1240P02CT3,,27215,,1,https://pdf.utmel.com/r/datasheets/tdkcorporation-ps1240p02bt-datasheets-931.pdf,External,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,Active,,,,,,,,,
https://www.utmel.com/productdetail/murataelectronics-pklcs1212e2400r1-4462,https://static.utmel.com/80dimg/murataelectronics-pklcs1212e40a1r1-1454.jpg,PKLCS1212E2400-R1,,636,,1,https://pdf.utmel.com/r/datasheets/murataelectronics-pkm22epth2002b0-datasheets-313.pdf,Surface Mount,,,Bulk,-,0.906Lx0.906W 23.00mmx23.00mm,1 (Unlimited),,,,,,,,,
